Case; Start; End
13:2030; dt.date(2030, 8, 8); dt.date(2030, 8, 19)
19:2028; dt.date(2028, 7, 19); dt.date(2028, 7, 30)
19:2016; dt.date(2016, 7, 1); dt.date(2016, 7, 12)
