Case; Start; End
27:2029; dt.date(2029, 7, 19); dt.date(2029, 7, 30)
15:2030; dt.date(2030, 7, 16); dt.date(2030, 7, 27)
06:2026; dt.date(2026, 7, 12); dt.date(2026, 7, 23)
